PROP_TYPE_EN,sales_count,sales_value,median_price_per_sqm,avg_price_per_sqm,rent_count,annual_rent_value,median_rent_per_sqm,avg_rent_per_sqm,gross_rental_yield,liquidity_score
,,,,,17436,4797950278.77,706.4263565891473,13931.031972209394,,17436
,,,,,13681,1538177296.49,1000.0,3952.8803240673797,,13681
Building,7039,26279983617.11,18292.349726775956,17595.89325933701,89,250251019.45,366.142,34451.94918626655,0.020016127259148617,7128
Land,8444,138457232510.76,13262.59946949602,13974.447357574005,1024,220633319.73,43.916789799811156,50.523104694343395,0.003311325950905761,9468
Unit,53930,117952565920.6,17856.11749519536,20552.39497985801,285004,152489456281.51,1020.1107548819585,19391.208670204,0.057129482663655466,338934
