DEVELOPER_EN                                                         , sales_count, sales_value    , median_price_per_sqm, avg_price_per_sqm , rent_count, annual_rent_value, median_rent_per_sqm, avg_rent_per_sqm   , gross_rental_yield , liquidity_score
SERENE MARINA REAL ESTATE DEVELOPMENT L.L.C                          ,           5,     12994607.0 ,   24922.988060164367, 24790.618779444503,           ,                  ,                    ,                    ,                    ,               5
SEVEN MAYFAIR REAL ESTATE DEVELOPMENT L.L.C                          ,          11,     15643612.97,   15598.29464708669 , 15991.331955377256,           ,                  ,                    ,                    ,                    ,              11
SOBHA L.L.C                                                          ,         310,    928927217.0 ,   35251.86853520187 , 37975.6266229625  ,           ,                  ,                    ,                    ,                    ,             310
TABEER REAL ESTATE DEVELOPMENT L.L.C                                 ,          98,     98296870.0 ,   15043.969855767056, 15425.362368552924,           ,                  ,                    ,                    ,                    ,              98
TAKMEEL REAL ESTATE DEVELOPMENT L.L.C                                ,          21,     18643676.0 ,   17825.370251126853, 17235.28868987837 ,           ,                  ,                    ,                    ,                    ,              21
THE PALM - JEBEL ALI CO. (L.L.C)                                     ,         126,    798255000.0 ,   37419.27686867994 , 37609.80150201939 ,           ,                  ,                    ,                    ,                    ,             126
THE WEAVE REAL ESTATE DEVELOPMENT L.L.C                              ,           8,     11293634.0 ,   17492.27036962041 , 17470.869731030834,           ,                  ,                    ,                    ,                    ,               8
TRANQUIL INFRA DEVELOPERS L.L.C                                      ,           5,      6195000.0 ,   14332.003988035893, 14082.077875565225,           ,                  ,                    ,                    ,                    ,               5
V H S REAL ESTATE DEVELOPMENTS L.L.C                                 ,          22,     42348249.9 ,   12916.738629369767, 14288.328868001601,         57,        2557713.97,  2105.2631578947367,  1943.4070166323902, 0.16298720739830103,              79
VIVA REAL ESTATE DEVELOPMENT L.L.C                                   ,           7,      9557216.0 ,   20737.450639709365, 21236.522829262634,           ,                  ,                    ,                    ,                    ,               7
